533500801116414, BACZIN, BACZIN, NOT FOUND, CX C/ 01 BLS C/ 12 COMP, VAP
533501201112416, BUTACID, BUTACID, NOT FOUND, CX C/ 20 BLS C/ 10 DRG, VAP
533500801116414, BACZIN, BACZIN, NOT FOUND, CX C/ 01 BLS C/ 12 COMP, VAP
533500802139418, BACZIN, BACZIN, NOT FOUND, CX C/ 01 VD 60ML SUS, VAP
533500803135416, BACZIN, BACZIN, NOT FOUND, CX C/ 50 VDS 60ML SUS, VAP
533500901137413, BERITIN BC, BERITIN BC, NOT FOUND, CX C/ 01 VD 240ML, VAP
533501102130416, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5 ML XPE CT 50 FR VD AMB X 100 ML, VAP
533501101134418, BRONQUIL, BRONQUIL, NOT FOUND, CX C/ 01 VD 100ML, VAP
533501201112416, BUTACID, BUTACID, NOT FOUND, CX C/ 20 BLS C/ 10 DRG, VAP
533500801116414, BACZIN, BACZIN, NOT FOUND, CX C/ 01 BLS C/ 12 COMP, VAP
533500802139418, BACZIN, BACZIN, NOT FOUND, CX C/ 01 VD 60ML SUS, VAP
533500803135416, BACZIN, BACZIN, NOT FOUND, CX C/ 50 VDS 60ML SUS, VAP
533500901137413, BERITIN BC, BERITIN BC, NOT FOUND, CX C/ 01 VD 240ML, VAP
533501102130416, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5 ML XPE CT 50 FR VD AMB X 100 ML, VAP
533501101134418, BRONQUIL, BRONQUIL, NOT FOUND, CX C/ 01 VD 100ML, VAP
533501201112416, BUTACID, BUTACID, NOT FOUND, CX C/ 20 BLS C/ 10 DRG, VAP
533500801116414, BACZIN, BACZIN, NOT FOUND, CX C/ 01 BLS C/ 12 COMP, VAP
533500802139418, BACZIN, BACZIN, NOT FOUND, CX C/ 01 VD 60ML SUS, VAP
533500803135416, BACZIN, BACZIN, NOT FOUND, CX C/ 50 VDS 60ML SUS, VAP
533500901137413, BERITIN BC, BERITIN BC, NOT FOUND, CX C/ 01 VD 240ML, VAP
533501102130416, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5 ML XPE CT 50 FR VD AMB X 100 ML, VAP
533501101134418, BRONQUIL, BRONQUIL, NOT FOUND, CX C/ 01 VD 100ML, VAP
533501201112416, BUTACID, BUTACID, NOT FOUND, CX C/ 20 BLS C/ 10 DRG, VAP
533500901137413, BERITIN BC, BERITIN BC, NOT FOUND, CX C/ 01 VD 240ML, VAP
533501202119414, BUTACID, BUTACID, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 20, VAP
533501201112416, BUTACID, BUTACID, NOT FOUND, 200 MG DRG CX BL AL PLAS INC X 200 (EMB HOSP), VAP
533500802139418, BACZIN, BACZIN, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 60 ML , VAP
533500803135416, BACZIN, BACZIN, NOT FOUND, 40 MG/ML + 8 MG/ML SUS ORAL CX 50 FR VD AMB X 60 ML, VAP
533500801116414, BACZIN, BACZIN, NOT FOUND, CX C/ 01 BLS C/ 12 COMP, VAP
533501102130416, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5 ML XPE CT 50 FR VD AMB X 100 ML, VAP
533501101134418, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5ML XPE CT FR VD AMB X 100 ML , VAP
533500901137413, BERITIN BC, BERITIN BC, NOT FOUND, CX C/ 01 VD 240ML, VAP
533501202119414, BUTACID, BUTACID, NOT FOUND, 200 MG DRG CT BL AL PLAS INC X 20, VAP
533501201112416, BUTACID, BUTACID, NOT FOUND, 200 MG DRG CX BL AL PLAS INC X 200 (EMB HOSP), VAP
533500802139418, BACZIN, BACZIN, NOT FOUND, 40 MG/ML + 8 MG/ML SUS OR CT FR VD AMB X 60 ML , VAP
533500803135416, BACZIN, BACZIN, NOT FOUND, 40 MG/ML + 8 MG/ML SUS ORAL CX 50 FR VD AMB X 60 ML, VAP
533500801116414, BACZIN, BACZIN, NOT FOUND, CX C/ 01 BLS C/ 12 COMP, VAP
533501102130416, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5 ML XPE CT 50 FR VD AMB X 100 ML, VAP
533501101134418, BRONQUIL, BRONQUIL, NOT FOUND, 2 MG/5ML XPE CT FR VD AMB X 100 ML , VAP
