520601701115411, LABOPURINOL, LABOPURINOL, NOT FOUND, 100 MG COM CT 1 BL AL PLAS INC X 24, SIN
520601703118416, LABOPURINOL, LABOPURINOL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, SIN
520601702111418, LABOPURINOL, LABOPURINOL, NOT FOUND, 300 MG COM CT 1 BL AL PLAS INC X 16, SIN
520601704114414, LABOPURINOL, LABOPURINOL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 30, SIN
520601801111416, LANITOP, LANITOP, NOT FOUND, CAIXA C/ 30 COMPRIMIDOS, SIN
520601701115411, LABOPURINOL, LABOPURINOL, NOT FOUND, 100 MG COM CT 1 BL AL PLAS INC X 24, SIN
520601703118416, LABOPURINOL, LABOPURINOL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, SIN
520601702111418, LABOPURINOL, LABOPURINOL, NOT FOUND, 300 MG COM CT 1 BL AL PLAS INC X 16, SIN
520601704114414, LABOPURINOL, LABOPURINOL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 30, SIN
520601801111416, LANITOP, LANITOP, NOT FOUND, 0.1 MG COM CT 1 BL AL PLAS INC X 30&nbsp;01, SIN
520601701115411, LABOPURINOL, LABOPURINOL, NOT FOUND, 100 MG COM CT 1 BL AL PLAS INC X 24, SIN
520601703118416, LABOPURINOL, LABOPURINOL, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 30, SIN
520601702111418, LABOPURINOL, LABOPURINOL, NOT FOUND, 300 MG COM CT 1 BL AL PLAS INC X 16, SIN
520601704114414, LABOPURINOL, LABOPURINOL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 30, SIN
520601801111416, LANITOP, LANITOP, NOT FOUND, 0.1 MG COM CT 1 BL AL PLAS INC X 30&nbsp;01, SIN
