530803701113410, HELMICIN, HELMICIN, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 8, SNV
530803701113410, HELMICIN, HELMICIN, NOT FOUND, 100 MG CAP GEL DURA CT BL AL PLAS INC X 8, SNV
530803702111411, HELMICIN, HELMICIN, NOT FOUND, 150 MG CAP GEL DURA CT 01 BL AL PLAS INC X 01, SNV
530803703116417, HELMICIN, HELMICIN, NOT FOUND, 150 MG CAP GEL DURA CX 50 BL AL PLAS INC X 1 ( EMB HOSP), SNV
530804003118415, HIPOTEN, HIPOTEN, NOT FOUND, 25 MG COM CT 50 BL AL PLAS INC X 10 EMB HOSP, SNV
530804001115419, HIPOTEN, HIPOTEN, NOT FOUND, 25 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804002111417, HIPOTEN, HIPOTEN, NOT FOUND, 50 MG COMP CT 02 BL AL PALS INC X 10, SNV
530804003118415, HIPOTEN, HIPOTEN, NOT FOUND, 25 MG COM CT 50 BL AL PLAS INC X 10 EMB HOSP, SNV
530804001115419, HIPOTEN, HIPOTEN, NOT FOUND, 25 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804002111417, HIPOTEN, HIPOTEN, NOT FOUND, 50 MG COMP CT 02 BL AL PALS INC X 10, SNV
530804003118415, HIPOTEN, HIPOTEN, NOT FOUND, 25 MG COM CT 50 BL AL PLAS INC X 10 EMB HOSP, SNV
530804001115419, HIPOTEN, HIPOTEN, NOT FOUND, 25 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530804002111417, HIPOTEN, HIPOTEN, NOT FOUND, 50 MG COMP CT 02 BL AL PALS INC X 10, SNV
