530808001111114, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, SNV
530801901115410, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COMP CT 04 BL AL PLAS AMB X 10, SNV
530802001118411, CINAZON, CINAZON, NOT FOUND, 25 MG COMP CT BL AL PLAS INC X 30, SNV
530802002114411, CINAZON, CINAZON, NOT FOUND, 75 MG COMP CT BL AL PLAS INC X 30, SNV
530802101112415, CIPRODINE, CIPRODINE, NOT FOUND, 250 MG COMP REV CT BL AL PLAS INC X 10, SNV
530802102119413, CIPRODINE, CIPRODINE, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 10, SNV
530807801112117, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 20, SNV
530807802119115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, SNV
530802302118410, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10, SNV
530802301111412, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530808001111114, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, SNV
530808002116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), SNV
530801802117318, CICLOVULON, CICLOVULON, NOT FOUND, COMP CT BL AL PLAS INC X 21, SNV
530801902111419, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COM CX 50 BL AL PLAS AMB X 10 (EMB HOSP), SNV
530801901115410, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COMP CT 04 BL AL PLAS AMB X 10, SNV
530802001118411, CINAZON, CINAZON, NOT FOUND, 25 MG COMP CT BL AL PLAS INC X 30, SNV
530802002114411, CINAZON, CINAZON, NOT FOUND, 75 MG COMP CT BL AL PLAS INC X 30, SNV
530802101112415, CIPRODINE, CIPRODINE, NOT FOUND, 250 MG COMP REV CT BL AL PLAS INC X 10, SNV
530802102119413, CIPRODINE, CIPRODINE, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 10, SNV
530807801112117, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 20, SNV
530807802119115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, SNV
530807803115113, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CX BL AL PLAS AMB X 500 (EMB HOSP), SNV
530802302118410, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10, SNV
530802301111412, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530808001111114, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, SNV
530808002116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), SNV
530801802117318, CICLOVULON, CICLOVULON, NOT FOUND, COMP CT BL AL PLAS INC X 21, SNV
530801902111419, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COM CX 50 BL AL PLAS AMB X 10 (EMB HOSP), SNV
530801901115410, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COMP CT 04 BL AL PLAS AMB X 10, SNV
530802001118411, CINAZON, CINAZON, NOT FOUND, 25 MG COMP CT BL AL PLAS INC X 30, SNV
530802002114411, CINAZON, CINAZON, NOT FOUND, 75 MG COMP CT BL AL PLAS INC X 30, SNV
530802101112415, CIPRODINE, CIPRODINE, NOT FOUND, 250 MG COMP REV CT BL AL PLAS INC X 10, SNV
530802102119413, CIPRODINE, CIPRODINE, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 10, SNV
530807801112117, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 20, SNV
530807802119115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, SNV
530807803115113, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CX BL AL PLAS AMB X 500 (EMB HOSP), SNV
530802302118410, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10, SNV
530802301111412, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530808001111114, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, SNV
530808002116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), SNV
530801802117318, CICLOVULON, CICLOVULON, NOT FOUND, COMP CT BL AL PLAS INC X 21, SNV
530801902111419, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COM CX 50 BL AL PLAS AMB X 10 (EMB HOSP), SNV
530801901115410, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COMP CT 04 BL AL PLAS AMB X 10, SNV
530802001118411, CINAZON, CINAZON, NOT FOUND, 25 MG COMP CT BL AL PLAS INC X 30, SNV
530802002114411, CINAZON, CINAZON, NOT FOUND, 75 MG COMP CT BL AL PLAS INC X 30, SNV
530802101112415, CIPRODINE, CIPRODINE, NOT FOUND, 250 MG COMP REV CT BL AL PLAS INC X 10, SNV
530802102119413, CIPRODINE, CIPRODINE, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 10, SNV
530807801112117, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 20, SNV
530807802119115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, SNV
530807803115113, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CX BL AL PLAS AMB X 500 (EMB HOSP), SNV
530802302118410, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10, SNV
530802301111412, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530808003139113, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR PET AMB X 100 ML, SNV
530808004135111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CX 50 FR PET AMB X 100 ML (EMB. HOSP), SNV
530802302118410, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10, SNV
530808001111114, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, SNV
530808002116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), SNV
530802301111412, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530801902111419, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COM CX 50 BL AL PLAS AMB X 10 (EMB HOSP), SNV
530801901115410, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COMP CT 04 BL AL PLAS AMB X 10, SNV
530802001118411, CINAZON, CINAZON, NOT FOUND, 25 MG COMP CT BL AL PLAS INC X 30, SNV
530802002114411, CINAZON, CINAZON, NOT FOUND, 75 MG COMP CT BL AL PLAS INC X 30, SNV
530802101112415, CIPRODINE, CIPRODINE, NOT FOUND, 250 MG COMP REV CT BL AL PLAS INC X 10, SNV
530802102119413, CIPRODINE, CIPRODINE, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 10, SNV
530807801112117, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 20, SNV
530807802119115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, SNV
530807803115113, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CX BL AL PLAS AMB X 500 (EMB HOSP), SNV
530801802117318, CICLOVULON, CICLOVULON, NOT FOUND, COMP CT BL AL PLAS INC X 21, SNV
530808003139113, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CT FR PET AMB X 100 ML, SNV
530808004135111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 20 MG/ML SUS OR CX 50 FR PET AMB X 100 ML (EMB. HOSP), SNV
530802302118410, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COM CT 50 BL AL PLAS INC X 10, SNV
530808001111114, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, SNV
530808002116111, CARBAMAZEPINA, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CX BL AL PLAS INC X 500 (EMB HOSP), SNV
530802301111412, CONVULSAN, CONVULSAN, NOT FOUND, 200 MG COMP CT 02 BL AL PLAS INC X 10, SNV
530801902111419, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COM CX 50 BL AL PLAS AMB X 10 (EMB HOSP), SNV
530801901115410, CIMETIVAL, CIMETIVAL, NOT FOUND, 200 MG COMP CT 04 BL AL PLAS AMB X 10, SNV
530802001118411, CINAZON, CINAZON, NOT FOUND, 25 MG COMP CT BL AL PLAS INC X 30, SNV
530802002114411, CINAZON, CINAZON, NOT FOUND, 75 MG COMP CT BL AL PLAS INC X 30, SNV
530802101112415, CIPRODINE, CIPRODINE, NOT FOUND, 250 MG COMP REV CT BL AL PLAS INC X 10, SNV
530802102119413, CIPRODINE, CIPRODINE, NOT FOUND, 500 MG COMP REV CT BL AL PLAS INC X 10, SNV
530807801112117, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 20, SNV
530807802119115, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CT BL AL PLAS AMB X 30, SNV
530807803115113, CLORIDRATO DE VERAPAMIL, CLORIDRATO VERAPAMIL, CLORIDRATO VERAPAMIL, 80 MG COM REV CX BL AL PLAS AMB X 500 (EMB HOSP), SNV
530801802117318, CICLOVULON, CICLOVULON, NOT FOUND, COMP CT BL AL PLAS INC X 21, SNV
