501006301134319, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 3.0 ML, ALL
501003201163411, GENTACORT, GENTACORT, NOT FOUND, BISNAGA - POMADA - 3.5G, ALL
501003202178410, GENTACORT, GENTACORT, NOT FOUND, FR PLASTICO - GTS - 5ML, ALL
501003301168316, GENTAMICINA, GENTAMICINA, GENTAMICINA, BISNAGA - POMADA - 3.5G, ALL
501003302172317, GENTAMICINA, GENTAMICINA, GENTAMICINA, FR PLASTICO - GTS - 5ML, ALL
501006301134319, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 3.0 ML, ALL
501006302173318, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 3.5 ML, ALL
501006303171319, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, ALL
501003301168316, GENTAMICINA, GENTAMICINA, GENTAMICINA, BISNAGA - POMADA - 3.5G, ALL
501003302172317, GENTAMICINA, GENTAMICINA, GENTAMICINA, FR PLASTICO - GTS - 5ML, ALL
501006301134319, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 3.0 ML, ALL
501006302173318, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 3.5 ML, ALL
501006303171319, GANFORT, GANFORT, NOT FOUND, 0.3 MG/ML + 5.0 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, ALL
501003301168316, GENTAMICINA, GENTAMICINA, GENTAMICINA, BISNAGA - POMADA - 3.5G, ALL
501003302172317, GENTAMICINA, GENTAMICINA, GENTAMICINA, FR PLASTICO - GTS - 5ML, ALL
