505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
505515302166411, ALIVBABY, ALIVBABY, NOT FOUND, 100.000U/G + 200MG/G BG 20 G, CAZ
505515301161416, ALIVBABY, ALIVBABY, NOT FOUND, 100000 U/G + 200 MG/G POM BG X 60 G, CAZ
505500601111416, ALIVIAN, ALIVIAN, NOT FOUND, 7.5 MG COMP CT FR VD AMB X 10, CAZ
505515102132416, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
505515302166411, ALIVBABY, ALIVBABY, NOT FOUND, 100.000U/G + 200MG/G BG 20 G, CAZ
505515301161416, ALIVBABY, ALIVBABY, NOT FOUND, 100000 U/G + 200 MG/G POM BG X 60 G, CAZ
505500601111416, ALIVIAN, ALIVIAN, NOT FOUND, 7.5 MG COMP CT FR VD AMB X 10, CAZ
505515102132416, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
505515302166411, ALIVBABY, ALIVBABY, NOT FOUND, 100.000U/G + 200MG/G BG 20 G, CAZ
505515301161416, ALIVBABY, ALIVBABY, NOT FOUND, 100000 U/G + 200 MG/G POM BG X 60 G, CAZ
505500601111416, ALIVIAN, ALIVIAN, NOT FOUND, 7.5 MG COMP CT FR VD AMB X 10, CAZ
505515102132416, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
505515302166411, ALIVBABY, ALIVBABY, NOT FOUND, 100.000U/G + 200MG/G BG 20 G, CAZ
505515301161416, ALIVBABY, ALIVBABY, NOT FOUND, 100000 U/G + 200 MG/G POM BG X 60 G, CAZ
505500601111416, ALIVIAN, ALIVIAN, NOT FOUND, 7.5 MG COMP CT FR VD AMB X 10, CAZ
505515102132416, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
505515302166411, ALIVBABY, ALIVBABY, NOT FOUND, 100.000U/G + 200MG/G BG 20 G, CAZ
505515301161416, ALIVBABY, ALIVBABY, NOT FOUND, 100000 U/G + 200 MG/G POM BG X 60 G, CAZ
505500601111416, ALIVIAN, ALIVIAN, NOT FOUND, 7.5 MG COMP CT FR VD AMB X 10, CAZ
505515102132416, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
505515302166411, ALIVBABY, ALIVBABY, NOT FOUND, 100.000U/G + 200MG/G BG 20 G, CAZ
505515301161416, ALIVBABY, ALIVBABY, NOT FOUND, 100000 U/G + 200 MG/G POM BG X 60 G, CAZ
505500601111416, ALIVIAN, ALIVIAN, NOT FOUND, 7.5 MG COMP CT FR VD AMB X 10, CAZ
505515102132416, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515104135412, AMOXACIN, AMOXACIN, NOT FOUND, 125 MG/5ML PO SUS OR EXT CT FR VD AMB X 80 ML + CP DOS, CAZ
505515101111415, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG - CX C/ 12 CAPSULAS, CAZ
505515103139414, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505515105131410, AMOXACIN, AMOXACIN, NOT FOUND, 250 MG /5ML PO SUS OR EXT CT FR VD AMB X 60 ML + CP DOS, CAZ
505515106111413, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS X 15, CAZ
505515107118411, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG CAP GEL DURA CTB BL AL PLAS X 10, CAZ
505515108130415, AMOXACIN, AMOXACIN, NOT FOUND, 500 MG/5 ML PO SUS OR EXT CT FR VD AMB X 150 ML + CP DOS, CAZ
505500801110413, ANFLAT, ANFLAT, NOT FOUND, 40MG COMP CX 2 BL X 10, CAZ
505500802133417, ANFLAT, ANFLAT, NOT FOUND, 75MG/ML SOL OR GOTAS CT FR PLAS OCP X 10 ML, CAZ
505500901115417, ANGIODARONA, ANGIODARONA, NOT FOUND, 200 MG COMP CT 2 ENV X 10, CAZ
505501003137411, ASMAFIN, ASMAFIN, NOT FOUND, 240MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, CAZ
505501101139417, ASMANON, ASMANON, NOT FOUND, 0.2 MG/ML XPE CT FR VD AMB X 150 ML, CAZ
505501102119411, ASMANON, ASMANON, NOT FOUND, 1 MG COMP CT ENV KRAFT POLIET X 20, CAZ
505501201117415, ATECARD, ATECARD, NOT FOUND, 100 MG COMP CT ENV AL POLIET X 30, CAZ
505501202113413, ATECARD, ATECARD, NOT FOUND, 50 MG COMP CT ENV AL POLIET X 30, CAZ
505500201113411, ACFOL, ACFOL, NOT FOUND, 05MG COM P CT 4 ENV KRAFT X 10, CAZ
505500202136415, ACFOL, ACFOL, NOT FOUND, 5 MG/ML SOL OR CT VD CGT X 10 ML, CAZ
505500301134410, AEROTRAT, AEROTRAT, NOT FOUND, 0.4MG/ML XPE CT FR VD AMB X 100 ML, CAZ
505500302114413, AEROTRAT, AEROTRAT, NOT FOUND, 2.0 MG COMP CT ENV AL X 20, CAZ
505500401139414, ALBISTIN, ALBISTIN, NOT FOUND, 100.000 UI/ML SUS OR CT FR VD AMB X 40 ML, CAZ
505500402161413, ALBISTIN, ALBISTIN, NOT FOUND, 25.000 UI/G CREM VAG CT BG AL X 60 G, CAZ
505500403115415, ALBISTIN, ALBISTIN, NOT FOUND, 500.000 UI DRG CT ENV AL X 16, CAZ
505500501117412, ALGICÊ, ALGICE, NOT FOUND, DRG + DRG CT 2 BL AL PLAS X 10, CAZ
