520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520722601111411, MARFARIM, MARFARIM, NOT FOUND, 5 MG COM CT BL AL PVDC LEIT X 10, TTB
520730201119416, MATERSUPRE, MATERSUPRE, NOT FOUND, COM REV CT FR PLAS OPC X 30, TTB
520714201118116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP 100MG C/06 GEN, TTB
520714204117110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP. 100 MG - CX. C/ 300 GEN, TTB
520714202130111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/01 FR X 30ML GEN, TTB
520714203137118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/100 FR X 30ML GEN, TTB
520730301113118, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PVDC INC X 10, TTB
520714302119411, METACIDIL, METACIDIL, NOT FOUND, CAPS 50MG CX C/30, TTB
520714501162110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG 500 MG - CX. C/ 50 BISN X 50 G, TTB
520714502169119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GELVAG 500MG BISN X 50G, TTB
520713801111416, MEVALIP, MEVALIP, NOT FOUND, 20MG COM CT BL AL PLAS X 30, TTB
520714601116412, MEVAMOX, MEVAMOX, NOT FOUND, COMP 7.5MG CX C/10, TTB
520714602112410, MEVAMOX, MEVAMOX, NOT FOUND, COMP. 15 MG - CX. C/ 10, TTB
520724501165419, MICADEN, MICADEN, NOT FOUND, 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART, TTB
520714701161118, MICONAZOL, MICONAZOL, MICONAZOL, CREME 2% BISN X 80G GEN, TTB
520714702176119, MICONAZOL, MICONAZOL, MICONAZOL, LOCAO DERM 2% CX C/ 1 FR X 30ML GEN, TTB
520714801166413, MICOSIL, MICOSIL, NOT FOUND, 1% CREME -BISNAGA X 20GR, TTB
520714903163413, MICOZEN, MICOZEN, NOT FOUND, 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP) , TTB
520714901160417, MICOZEN, MICOZEN, NOT FOUND, CREME VAGINAL 2% C/ 1 BISN X 80G, TTB
520714902175418, MICOZEN, MICOZEN, NOT FOUND, LOCAO DERM 2% CX C/ 1 FR X 30ML, TTB
520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520708804132116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED (EMB HOSP) , TTB
520708805139114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520708803111115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 50 MG - COMP. DISP. - CX. C/20, TTB
520708802131112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, XPE 2MG/ML FR X 100ML, TTB
520714005114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, TTB
520714001119119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CT 3 ENV AL X 10, TTB
520714002115117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CX 10 ENV AL X 10 (EMB HOSP), TTB
520714006110111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, TTB
520714003111115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG COM CT 3 ENV AL X 10, TTB
520714007117118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, TTB
520714004118113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 ENV AL X 10, TTB
520727201170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, TTB
520727202177118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP), TTB
520722601111411, MARFARIM, MARFARIM, NOT FOUND, 5 MG COM CT BL AL PVDC LEIT X 10, TTB
520714201118116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP 100MG C/06 GEN, TTB
520714204117110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP. 100 MG - CX. C/ 300 GEN, TTB
520714202130111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/01 FR X 30ML GEN, TTB
520714203137118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/100 FR X 30ML GEN, TTB
520730301113118, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PVDC INC X 10, TTB
520714302119411, METACIDIL, METACIDIL, NOT FOUND, CAPS 50MG CX C/30, TTB
520714501162110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG 500 MG - CX. C/ 50 BISN X 50 G, TTB
520714502169119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GELVAG 500MG BISN X 50G, TTB
520713801111416, MEVALIP, MEVALIP, NOT FOUND, 20MG COM CT BL AL PLAS X 30, TTB
520714601116412, MEVAMOX, MEVAMOX, NOT FOUND, COMP 7.5MG CX C/10, TTB
520714602112410, MEVAMOX, MEVAMOX, NOT FOUND, COMP. 15 MG - CX. C/ 10, TTB
520724501165419, MICADEN, MICADEN, NOT FOUND, 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART, TTB
520714701161118, MICONAZOL, MICONAZOL, MICONAZOL, CREME 2% BISN X 80G GEN, TTB
520714702176119, MICONAZOL, MICONAZOL, MICONAZOL, LOCAO DERM 2% CX C/ 1 FR X 30ML GEN, TTB
520714801166413, MICOSIL, MICOSIL, NOT FOUND, 1% CREME -BISNAGA X 20GR, TTB
520714903163413, MICOZEN, MICOZEN, NOT FOUND, 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP) , TTB
520714901160417, MICOZEN, MICOZEN, NOT FOUND, CREME VAGINAL 2% C/ 1 BISN X 80G, TTB
520714902175418, MICOZEN, MICOZEN, NOT FOUND, LOCAO DERM 2% CX C/ 1 FR X 30ML, TTB
520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520708804132116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED (EMB HOSP) , TTB
520708805139114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520708803111115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 50 MG - COMP. DISP. - CX. C/20, TTB
520708802131112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, XPE 2MG/ML FR X 100ML, TTB
520714005114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, TTB
520714001119119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CT 3 ENV AL X 10, TTB
520714002115117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CX 10 ENV AL X 10 (EMB HOSP), TTB
520714006110111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, TTB
520714003111115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG COM CT 3 ENV AL X 10, TTB
520714007117118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, TTB
520714004118113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 ENV AL X 10, TTB
520727201170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, TTB
520727202177118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP), TTB
520722601111411, MARFARIM, MARFARIM, NOT FOUND, 5 MG COM CT BL AL PVDC LEIT X 10, TTB
520714201118116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP 100MG C/06 GEN, TTB
520714204117110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP. 100 MG - CX. C/ 300 GEN, TTB
520714202130111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/01 FR X 30ML GEN, TTB
520714203137118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/100 FR X 30ML GEN, TTB
520730301113118, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PVDC INC X 10, TTB
520714302119411, METACIDIL, METACIDIL, NOT FOUND, CAPS 50MG CX C/30, TTB
520714501162110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG 500 MG - CX. C/ 50 BISN X 50 G, TTB
520714502169119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GELVAG 500MG BISN X 50G, TTB
520713801111416, MEVALIP, MEVALIP, NOT FOUND, 20MG COM CT BL AL PLAS X 30, TTB
520714601116412, MEVAMOX, MEVAMOX, NOT FOUND, COMP 7.5MG CX C/10, TTB
520714602112410, MEVAMOX, MEVAMOX, NOT FOUND, COMP. 15 MG - CX. C/ 10, TTB
520724501165419, MICADEN, MICADEN, NOT FOUND, 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART, TTB
520714801166413, MICOSIL, MICOSIL, NOT FOUND, 1% CREME -BISNAGA X 20GR, TTB
520714903163413, MICOZEN, MICOZEN, NOT FOUND, 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP) , TTB
520714901160417, MICOZEN, MICOZEN, NOT FOUND, CREME VAGINAL 2% C/ 1 BISN X 80G, TTB
520714902175418, MICOZEN, MICOZEN, NOT FOUND, LOCAO DERM 2% CX C/ 1 FR X 30ML, TTB
520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520708804132116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED (EMB HOSP) , TTB
520708805139114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520708803111115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 50 MG - COMP. DISP. - CX. C/20, TTB
520708802131112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, XPE 2MG/ML FR X 100ML, TTB
520714005114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, TTB
520714001119119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CT 3 ENV AL X 10, TTB
520714002115117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CX 10 ENV AL X 10 (EMB HOSP), TTB
520714006110111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, TTB
520714003111115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG COM CT 3 ENV AL X 10, TTB
520714007117118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, TTB
520714004118113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 ENV AL X 10, TTB
520727201170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, TTB
520727202177118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP), TTB
520722601111411, MARFARIM, MARFARIM, NOT FOUND, 5 MG COM CT BL AL PVDC LEIT X 10, TTB
520714201118116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP 100MG C/06 GEN, TTB
520714204117110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP. 100 MG - CX. C/ 300 GEN, TTB
520714202130111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/01 FR X 30ML GEN, TTB
520714203137118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/100 FR X 30ML GEN, TTB
520730301113118, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PVDC INC X 10, TTB
520714302119411, METACIDIL, METACIDIL, NOT FOUND, CAPS 50MG CX C/30, TTB
520714501162110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG 500 MG - CX. C/ 50 BISN X 50 G, TTB
520714502169119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GELVAG 500MG BISN X 50G, TTB
520713801111416, MEVALIP, MEVALIP, NOT FOUND, 20MG COM CT BL AL PLAS X 30, TTB
520714601116412, MEVAMOX, MEVAMOX, NOT FOUND, COMP 7.5MG CX C/10, TTB
520714602112410, MEVAMOX, MEVAMOX, NOT FOUND, COMP. 15 MG - CX. C/ 10, TTB
520724501165419, MICADEN, MICADEN, NOT FOUND, 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART, TTB
520714801166413, MICOSIL, MICOSIL, NOT FOUND, 1% CREME -BISNAGA X 20GR, TTB
520714903163413, MICOZEN, MICOZEN, NOT FOUND, 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP) , TTB
520714901160417, MICOZEN, MICOZEN, NOT FOUND, CREME VAGINAL 2% C/ 1 BISN X 80G, TTB
520714902175418, MICOZEN, MICOZEN, NOT FOUND, LOCAO DERM 2% CX C/ 1 FR X 30ML, TTB
520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520708804132116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED (EMB HOSP) , TTB
520708805139114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520708803111115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 50 MG - COMP. DISP. - CX. C/20, TTB
520708802131112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, XPE 2MG/ML FR X 100ML, TTB
520714005114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, TTB
520714001119119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CT 3 ENV AL X 10, TTB
520714002115117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CX 10 ENV AL X 10 (EMB HOSP), TTB
520714006110111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, TTB
520714003111115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG COM CT 3 ENV AL X 10, TTB
520714007117118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, TTB
520714004118113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 ENV AL X 10, TTB
520727201170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, TTB
520727202177118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP), TTB
520722601111411, MARFARIM, MARFARIM, NOT FOUND, 5 MG COM CT BL AL PVDC LEIT X 10, TTB
520714201118116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP 100MG C/06 GEN, TTB
520714204117110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP. 100 MG - CX. C/ 300 GEN, TTB
520714202130111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/01 FR X 30ML GEN, TTB
520714203137118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/100 FR X 30ML GEN, TTB
520730301113118, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PVDC INC X 10, TTB
520714302119411, METACIDIL, METACIDIL, NOT FOUND, CAPS 50MG CX C/30, TTB
520714501162110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG 500 MG - CX. C/ 50 BISN X 50 G, TTB
520714502169119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GELVAG 500MG BISN X 50G, TTB
520713801111416, MEVALIP, MEVALIP, NOT FOUND, 20MG COM CT BL AL PLAS X 30, TTB
520714601116412, MEVAMOX, MEVAMOX, NOT FOUND, COMP 7.5MG CX C/10, TTB
520714602112410, MEVAMOX, MEVAMOX, NOT FOUND, COMP. 15 MG - CX. C/ 10, TTB
520724501165419, MICADEN, MICADEN, NOT FOUND, 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART, TTB
520714801166413, MICOSIL, MICOSIL, NOT FOUND, 1% CREME -BISNAGA X 20GR, TTB
520714903163413, MICOZEN, MICOZEN, NOT FOUND, 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP) , TTB
520714901160417, MICOZEN, MICOZEN, NOT FOUND, CREME VAGINAL 2% C/ 1 BISN X 80G, TTB
520714902175418, MICOZEN, MICOZEN, NOT FOUND, LOCAO DERM 2% CX C/ 1 FR X 30ML, TTB
520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520708804132116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED (EMB HOSP) , TTB
520708805139114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520708803111115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 50 MG - COMP. DISP. - CX. C/20, TTB
520708802131112, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, XPE 2MG/ML FR X 100ML, TTB
520714005114111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, TTB
520714001119119, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CT 3 ENV AL X 10, TTB
520714002115117, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10MG COM CX 10 ENV AL X 10 (EMB HOSP), TTB
520714006110111, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT BL AL/AL X 30, TTB
520714003111115, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20MG COM CT 3 ENV AL X 10, TTB
520714007117118, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT BL AL/AL X 30, TTB
520714004118113, MALEATO DE ENALAPRIL, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5MG COM CT 3 ENV AL X 10, TTB
520727201170111, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CT FR PLAS OPC GOT X 5.0 ML, TTB
520727202177118, MALEATO DE TIMOLOL, MALEATO TIMOLOL, MALEATO TIMOLOL, 5 MG/ML SOL OFT CX 50 FR PLAS OPC GOT X 5.0 ML (EMB HOSP), TTB
520722601111411, MARFARIM, MARFARIM, NOT FOUND, 5 MG COM CT BL AL PVDC LEIT X 10, TTB
520714201118116, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP 100MG C/06 GEN, TTB
520714204117110, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, COMP. 100 MG - CX. C/ 300 GEN, TTB
520714202130111, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/01 FR X 30ML GEN, TTB
520714203137118, MEBENDAZOL, MEBENDAZOL, MEBENDAZOL, SUSP 100MG/5ML CX C/100 FR X 30ML GEN, TTB
520730301113118, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT BL AL PVDC INC X 10, TTB
520714302119411, METACIDIL, METACIDIL, NOT FOUND, CAPS 50MG CX C/30, TTB
520714501162110, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GEL VAG 500 MG - CX. C/ 50 BISN X 50 G, TTB
520714502169119, METRONIDAZOL, METRONIDAZOL, METRONIDAZOL, GELVAG 500MG BISN X 50G, TTB
520713801111416, MEVALIP, MEVALIP, NOT FOUND, 20MG COM CT BL AL PLAS X 30, TTB
520714601116412, MEVAMOX, MEVAMOX, NOT FOUND, COMP 7.5MG CX C/10, TTB
520714602112410, MEVAMOX, MEVAMOX, NOT FOUND, COMP. 15 MG - CX. C/ 10, TTB
520724501165419, MICADEN, MICADEN, NOT FOUND, 10 MG/G CREM VAG CT BG AL X 40 G C/7 APLIC DESCART, TTB
520714801166413, MICOSIL, MICOSIL, NOT FOUND, 1% CREME -BISNAGA X 20GR, TTB
520714903163413, MICOZEN, MICOZEN, NOT FOUND, 20 MG/G CREM VAG CT 50 BG AL X 80 G (EMB HOSP) , TTB
520714901160417, MICOZEN, MICOZEN, NOT FOUND, CREME VAGINAL 2% C/ 1 BISN X 80G, TTB
520714902175418, MICOZEN, MICOZEN, NOT FOUND, LOCAO DERM 2% CX C/ 1 FR X 30ML, TTB
520721201136117, MAL DEXCLOR+BETAM, MAL DEXCLOR BETAM, NOT FOUND, 120ML C/01 GEN, TTB
520708804132116, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CT FR PLAS AMB X 100 ML + CP MED (EMB HOSP) , TTB
520708805139114, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 0.4 MG/ML SOL OR CX 50 FR PLAS AMB X 100 ML + 50 CP MED (EMB HOSP) , TTB
520708803111115, MALEATO DE DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, MALEATO DEXCLORFENIRAMINA, 50 MG - COMP. DISP. - CX. C/20, TTB
